CityID,N_L_0,H_L_0,R_0_0,N_G_0,H_G_0,N_J_0,H_J_0,N_B_0,H_B_0,N_E_0,H_E_0,N_X_0,H_X_0,N_F_0,H_F_0,N_D_0,H_D_0,N_M_0,H_M_0,N_C_0,H_C_0,N_K_0,H_K_0,I_L_G,A_L_G,I_L_J,A_L_J,I_L_B,A_L_B,I_L_E,A_L_E,I_L_X,A_L_X,I_L_F,A_L_F,I_L_D,A_L_D,I_L_M,A_L_M,I_L_C,A_L_C,I_L_K,A_L_K,I_G_J,A_G_J,I_G_B,A_G_B,I_G_E,A_G_E,I_G_X,A_G_X,I_G_F,A_G_F,I_G_D,A_G_D,I_G_M,A_G_M,I_G_C,A_G_C,I_G_K,A_G_K,I_J_B,A_J_B,I_J_E,A_J_E,I_J_X,A_J_X,I_J_F,A_J_F,I_J_D,A_J_D,I_J_M,A_J_M,I_J_C,A_J_C,I_J_K,A_J_K,I_B_E,A_B_E,I_B_X,A_B_X,I_B_F,A_B_F,I_B_D,A_B_D,I_B_M,A_B_M,I_B_C,A_B_C,I_B_K,A_B_K,I_E_X,A_E_X,I_E_F,A_E_F,I_E_D,A_E_D,I_E_M,A_E_M,I_E_C,A_E_C,I_E_K,A_E_K,I_X_F,A_X_F,I_X_D,A_X_D,I_X_M,A_X_M,I_X_C,A_X_C,I_X_K,A_X_K,I_F_D,A_F_D,I_F_M,A_F_M,I_F_C,A_F_C,I_F_K,A_F_K,I_D_M,A_D_M,I_D_C,A_D_C,I_D_K,A_D_K,I_M_C,A_M_C,I_M_K,A_M_K,I_C_K,A_C_K
310000,1039706,0,331384,0,425,0,10641,0,2204,0,290078,0,7854,0,2415,0,11883,0,26559,0,4403,0,32156,100,0,2501,0,485,0,86779,0,1846,0,531,0,2791,0,7946,0,969,0,9619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530900,0,6026,56387,353896,0,0,2942,0,2168,0,9374,0,4966,0,1754,0,6476,0,9237,0,2975,0,4565,1510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784,0,477,0,2063,0,1093,0,467,0,1622,0,2462,0,655,0,1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530700,0,6070,29201,181068,0,0,6226,0,1998,0,9581,0,5340,0,12603,0,6186,0,8926,0,3197,0,4434,1520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1658,0,439,0,2107,0,1174,0,3355,0,1548,0,2378,0,703,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530500,0,5386,60657,381197,0,0,3488,0,2160,0,9558,0,5430,0,2078,0,6633,0,9271,0,3118,0,4577,1349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929,0,475,0,2103,0,1195,0,554,0,1661,0,2470,0,686,0,1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532900,0,5553,84186,529918,0,0,6264,0,1610,0,10109,0,5671,0,3335,0,6396,0,9824,0,3596,0,5117,1391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1669,0,354,0,2224,0,1248,0,889,0,1602,0,2619,0,791,0,1363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533100,0,5570,27152,168618,0,0,2880,0,2381,0,8892,0,5716,0,1944,0,6318,0,8733,0,3724,0,4636,1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,524,0,1956,0,1258,0,518,0,1582,0,2327,0,820,0,1234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533300,0,5378,12697,77406,0,0,2311,0,2013,0,8749,0,4133,0,1716,0,6341,0,7874,0,2237,0,4598,1346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,0,443,0,1924,0,909,0,457,0,1587,0,2097,0,492,0,1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532600,0,6744,88929,557484,0,0,3799,0,1929,0,9036,0,5469,0,1796,0,6248,0,34959,0,2725,0,5675,1690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012,0,424,0,1987,0,1204,0,478,0,1565,0,9316,0,599,0,1511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530100,0,10361,124889,782690,0,0,55825,0,2034,0,13031,0,5828,0,5003,0,9970,0,28695,0,3664,0,20278,2595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14874,0,447,0,2867,0,1282,0,1332,0,2497,0,7646,0,806,0,5401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530600,0,9324,138299,0,670471,433738,0,0,1848,0,9350,0,5553,0,5291,0,7083,0,9458,0,3179,0,8667,0,0,2787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,0,2488,0,1389,0,1582,0,2117,0,2827,0,846,0,2591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
