CityID,N_L_0,H_L_0,R_0_0,N_G_0,H_G_0,N_J_0,H_J_0,N_B_0,H_B_0,N_E_0,H_E_0,N_X_0,H_X_0,N_F_0,H_F_0,N_D_0,H_D_0,N_M_0,H_M_0,N_C_0,H_C_0,N_K_0,H_K_0,I_L_G,A_L_G,I_L_J,A_L_J,I_L_B,A_L_B,I_L_E,A_L_E,I_L_X,A_L_X,I_L_F,A_L_F,I_L_D,A_L_D,I_L_M,A_L_M,I_L_C,A_L_C,I_L_K,A_L_K,I_G_J,A_G_J,I_G_B,A_G_B,I_G_E,A_G_E,I_G_X,A_G_X,I_G_F,A_G_F,I_G_D,A_G_D,I_G_M,A_G_M,I_G_C,A_G_C,I_G_K,A_G_K,I_J_B,A_J_B,I_J_E,A_J_E,I_J_X,A_J_X,I_J_F,A_J_F,I_J_D,A_J_D,I_J_M,A_J_M,I_J_C,A_J_C,I_J_K,A_J_K,I_B_E,A_B_E,I_B_X,A_B_X,I_B_F,A_B_F,I_B_D,A_B_D,I_B_M,A_B_M,I_B_C,A_B_C,I_B_K,A_B_K,I_E_X,A_E_X,I_E_F,A_E_F,I_E_D,A_E_D,I_E_M,A_E_M,I_E_C,A_E_C,I_E_K,A_E_K,I_X_F,A_X_F,I_X_D,A_X_D,I_X_M,A_X_M,I_X_C,A_X_C,I_X_K,A_X_K,I_F_D,A_F_D,I_F_M,A_F_M,I_F_C,A_F_C,I_F_K,A_F_K,I_D_M,A_D_M,I_D_C,A_D_C,I_D_K,A_D_K,I_M_C,A_M_C,I_M_K,A_M_K,I_C_K,A_C_K
310000,1037887,0,328798,0,0,0,12540,0,2320,0,358300,0,8700,0,2540,0,13280,0,32380,0,4760,0,39380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530900,0,7320,56202,355209,0,0,3620,0,2580,0,11080,0,5880,0,2180,0,7880,0,11380,0,3520,0,5580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530700,0,7420,28899,182045,0,0,7700,0,2380,0,11400,0,6360,0,15860,0,7520,0,11020,0,3860,0,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530500,0,6540,60577,382851,0,0,4320,0,2600,0,11260,0,6440,0,2580,0,8060,0,11420,0,3740,0,5600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532900,0,6660,84305,533196,0,0,7740,0,1900,0,11880,0,6740,0,4060,0,7760,0,12080,0,4280,0,6280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533100,0,6800,26863,169380,0,0,3580,0,2860,0,10520,0,6840,0,2420,0,7720,0,10800,0,4440,0,5680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533300,0,6600,12435,78050,0,0,2880,0,2420,0,10400,0,4960,0,2160,0,7820,0,9820,0,2680,0,5760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532600,0,8160,88544,559559,0,0,4660,0,2280,0,10620,0,6480,0,2220,0,7560,0,43300,0,3240,0,6920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530100,0,12440,124033,783071,0,0,71140,0,2360,0,15200,0,6740,0,6200,0,12020,0,35680,0,4320,0,25220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530600,0,11760,137753,0,870121,435060,0,0,2220,0,11340,0,6720,0,6720,0,8920,0,11840,0,3920,0,10820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
