culture1,culture2,cultural strength,,,,,,
B,C,0.9,,,,,,
B,D,0.9,,,,,,
B,E,0.8,,,,,,
B,F,0.8,,,,,,
B,G,0.75,,,,,,
B,J,0.8,,,,,,
B,K,0.75,,,,,,
B,L,0.75,,,,,,
B,M,0.7,,,,,,
B,X,0.9,,,,,,
C,B,1,,,,,,
C,D,1,,,,,,
C,E,0.9,,,,,,
C,F,1,,,,,,
C,G,0.95,,,,,,
C,J,0.95,,,,,,
C,K,0.85,,,,,,
C,L,0.85,,,,,,
C,M,0.85,,,,,,
C,X,0.95,,,,,,
D,B,1,,,,,,
D,C,1,,,,,,
D,E,1,,,,,,
D,F,1,,,,,,
D,G,0.85,,,,,,
D,J,0.95,,,,,,
D,K,0.95,,,,,,
D,L,0.85,,,,,,
D,M,0.85,,,,,,
D,X,0.95,,,,,,
E,B,1.05,,,,,,
E,C,0.9,,,,,,
E,D,1.05,,,,,,
E,F,1,,,,,,
E,G,0.9,,,,,,
E,J,1,,,,,,
E,K,1.05,,,,,,
E,L,1.05,,,,,,
E,M,0.9,,,,,,
E,X,1.05,,,,,,
F,B,0.75,,,,,,
F,C,0.85,,,,,,
F,D,0.85,,,,,,
F,E,0.75,,,,,,
F,G,0.85,,,,,,
F,J,0.85,,,,,,
F,K,0.75,,,,,,
F,L,0.7,,,,,,
F,M,0.7,,,,,,
F,X,0.7,,,,,,
G,B,0.9,,,,,,
G,C,0.9,,,,,,
G,D,1,,,,,,
G,E,0.9,,,,,,
G,F,1.05,,,,,,
G,J,1.05,,,,,,
G,K,1.05,,,,,,
G,L,1,,,,,,
G,M,1.05,,,,,,
G,X,0.9,,,,,,
J,B,1,,,,,,
J,C,1.05,,,,,,
J,D,1.15,,,,,,
J,E,1.05,,,,,,
J,F,1.15,,,,,,
J,G,1.15,,,,,,
J,K,1.15,,,,,,
J,L,1.15,,,,,,
J,M,1.15,,,,,,
J,X,1,,,,,,
K,B,0.9,,,,,,
K,C,0.8,,,,,,
K,D,1,,,,,,
K,E,1,,,,,,
K,F,0.9,,,,,,
K,G,1,,,,,,
K,J,1,,,,,,
K,L,1,,,,,,
K,M,1,,,,,,
K,X,0.9,,,,,,
L,B,0.9,,,,,,
L,C,0.9,,,,,,
L,D,0.95,,,,,,
L,E,1.15,,,,,,
L,F,0.9,,,,,,
L,G,0.95,,,,,,
L,J,0.95,,,,,,
L,K,1.15,,,,,,
L,M,1.15,,,,,,
L,X,0.95,,,,,,
M,B,0.95,,,,,,
M,C,0.9,,,,,,
M,D,1.05,,,,,,
M,E,1.05,,,,,,
M,F,0.95,,,,,,
M,G,1.15,,,,,,
M,J,1.05,,,,,,
M,K,1.15,,,,,,
M,L,1.15,,,,,,
M,X,0.95,,,,,,
X,B,1.3,,,,,,
X,C,1.2,,,,,,
X,D,1.2,,,,,,
X,E,1.3,,,,,,
X,F,1.1,,,,,,
X,G,0.95,,,,,,
X,J,1.1,,,,,,
X,K,1.1,,,,,,
X,L,1.2,,,,,,
X,M,0.95,,,,,,
